N,seed,weight_reg_one,val_loss_inverse_distortion,val_loss_inverse_distortion_clamped,val_reg_one,val_reg_one_clamped,val_reg_zero,val_reg_zero_clamped
5,123,0.0,9.516966383671388e-05,9.516966383671388e-05,0.02338860183954239,0.02338860183954239,0.43491148948669434,0.43491148948669434
5,246,0.0,4.7196383093250915e-05,4.7196383093250915e-05,0.164279967546463,0.164279967546463,0.4387057423591614,0.4387057423591614
5,369,0.0,9.939908341038972e-05,9.939908341038972e-05,0.17000913619995117,0.17000913619995117,0.43608540296554565,0.43608540296554565
5,492,0.0,8.028299635043368e-05,8.028299635043368e-05,3.720757484436035,3.720757484436035,0.43459552526474,0.43459552526474
5,615,0.0,5.370018698158674e-05,5.370018698158674e-05,0.08572053909301758,0.08572053909301758,0.4393481910228729,0.4393481910228729
5,738,0.0,5.248815432423726e-05,5.248815432423726e-05,0.022589659318327904,0.022589659318327904,0.437919557094574,0.437919557094574
5,861,0.0,6.629023118875921e-05,6.629023118875921e-05,3.1462666988372803,3.1462666988372803,0.4387727975845337,0.4387727975845337
5,984,0.0,6.178630428621545e-05,6.178630428621545e-05,2.552164316177368,2.552164316177368,0.434809148311615,0.434809148311615
5,123,0.25,0.0001745400222716853,0.0001745400222716853,0.00160801294259727,0.00160801294259727,0.47016212344169617,0.47016212344169617
5,246,0.25,0.00020282920741010457,0.00020282920741010457,0.0015436604153364897,0.0015436604153364897,0.467628538608551,0.467628538608551
5,369,0.25,0.0002034029021160677,0.0002034029021160677,0.001477417186833918,0.001477417186833918,0.46796250343322754,0.46796250343322754
5,492,0.25,0.00017833593301475048,0.00017833593301475048,0.0015237100888043642,0.0015237100888043642,0.4690677523612976,0.4690677523612976
5,615,0.25,0.00024190750264097005,0.00024190750264097005,0.001686292584054172,0.001686292584054172,0.46808719635009766,0.46808719635009766
5,738,0.25,0.0001561100798426196,0.0001561100798426196,0.0017183877062052488,0.0017183877062052488,0.4672643542289734,0.4672643542289734
5,861,0.25,0.00017437450878787786,0.00017437450878787786,0.0016170453745871782,0.0016170453745871782,0.47031038999557495,0.47031038999557495
5,984,0.25,0.00018506140622776002,0.00018506140622776002,0.0017063001869246364,0.0017063001869246364,0.4645369052886963,0.4645369052886963
6,123,0.0,0.00011502670531626791,0.00011502670531626791,2.4419384002685547,2.4419384002685547,0.4176177382469177,0.4176177382469177
6,246,0.0,5.857985161128454e-05,5.857985161128454e-05,3.3146960735321045,3.3146960735321045,0.41693606972694397,0.41693606972694397
6,369,0.0,0.00010788306826725602,0.00010788306826725602,5.568190574645996,5.568190574645996,0.4179854989051819,0.4179854989051819
6,492,0.0,0.00010417832527309656,0.00010417832527309656,3.3421926498413086,3.3421926498413086,0.4188290536403656,0.4188290536403656
6,615,0.0,7.44989447412081e-05,7.44989447412081e-05,0.04954300820827484,0.04954300820827484,0.41648104786872864,0.41648104786872864
6,738,0.0,7.748568896204233e-05,7.748568896204233e-05,0.15140104293823242,0.15140104293823242,0.4124149680137634,0.4124149680137634
6,861,0.0,0.00010552092862781137,0.00010552092862781137,5.565258026123047,5.565258026123047,0.41443362832069397,0.41443362832069397
6,984,0.0,7.532504241680726e-05,7.532504241680726e-05,2.4550046920776367,2.4550046920776367,0.4120723307132721,0.4120723307132721
6,123,0.25,0.0003247896092943847,0.0003247896092943847,0.0017220389563590288,0.0017220389563590288,0.47149407863616943,0.47149407863616943
6,246,0.25,0.0002468962629791349,0.0002468962629791349,0.001761939376592636,0.001761939376592636,0.47032904624938965,0.47032904624938965
6,369,0.25,0.00030875010997988284,0.00030875010997988284,0.0017403180245310068,0.0017403180245310068,0.46650922298431396,0.46650922298431396
6,492,0.25,0.00025108340196311474,0.00025108340196311474,0.0018840380944311619,0.0018840380944311619,0.4686014950275421,0.4686014950275421
